tic_id,label,sectors,morphology,source,flags
29777922,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.876,LCF,
29778064,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 67, 68, 87, 88",0.635,LCF,
29847695,eclipsing_binary,"3, 30",0.283,LCF,
29848012,eclipsing_binary,"3, 30",0.779,LCF,A
29914747,eclipsing_binary,"9, 10, 36, 63",0.622,LCF,
29983149,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 69, 87, 88",0.316,LCF,
30028394,eclipsing_binary,"4, 31",0.895,LCF,
30034081,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.506,LCF,
30122338,eclipsing_binary,"8, 9, 35, 36",0.349,LCF,A
30287190,eclipsing_binary,"11, 37, 64",0.237,LCF,
30313682,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.422,LCF,
30382918,eclipsing_binary,"11, 37, 64",0.536,LCF,
30450412,eclipsing_binary,"12, 39, 66",0.355,LCF,A
30540538,eclipsing_binary,"11, 37, 64",0.726,LCF,
30562668,eclipsing_binary,"8, 9, 35, 36, 62",0.478,LCF,
30714849,eclipsing_binary,"14, 40, 41, 54, 74, 80, 81",0.118,LCF,A
30816076,eclipsing_binary,"13, 27, 67",0.265,LCF,A
30828562,eclipsing_binary,"8, 9, 35, 36, 62",0.237,LCF,A
30914235,eclipsing_binary,"13, 27, 67",0.414,LCF,
30993392,eclipsing_binary,"11, 37, 64",0.289,LCF,
31054255,eclipsing_binary,"5, 6, 32",0.295,LCF,
31107108,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.644,LCF,
31118189,eclipsing_binary,"5, 6, 32",0.773,LCF,
31134762,eclipsing_binary,"11, 64",0.455,LCF,
31273263,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 62, 63, 64, 65, 67, 68, 69",0.081,LCF,A
31303242,eclipsing_binary,"5, 6, 32",0.290,LCF,
31415131,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.630,LCF,
31511621,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 63, 64, 66, 67, 68, 69, 87, 88",0.633,LCF,
